"","n","alphaintercept","beta1","beta2","betaintxn","sigma"
"(Intercept)",10,4.99340685699699,2.07054478264065,2.98544724992049,3.04620882826891,0.964247193147129
"(Intercept)1",10,5.62224422122298,4.05246885988944,2.05518531557023,2.02049304161881,0.716412333498784
"(Intercept)2",10,6.33732389464042,1.80580157847388,2.40440449737255,0.622552988937462,1.33871420344208
"(Intercept)3",10,4.75968649263055,1.7977156237335,1.7026551910316,3.70368923227749,1.06189634924167
"(Intercept)4",10,4.87589484747837,2.90558899547648,3.29138059366072,2.16122692685392,1.2772418014311
"(Intercept)5",10,5.04162647712088,3.46458357008997,0.97408746093322,2.85367154767228,1.44832116079203
"(Intercept)6",10,4.23200911787011,3.88642379960283,4.79484455873435,-0.306856293214365,1.44884776594058
"(Intercept)7",10,4.89742978582871,2.94177985452384,3.08232618297484,1.61659496010281,1.28207233639137
"(Intercept)8",10,5.16497318635912,2.66091643876028,2.73699309727764,2.9119202775302,1.81571878038991
"(Intercept)9",10,5.08657371547204,3.75395098504898,2.83782871119656,0.593781273952039,1.57916435759249
"(Intercept)10",30,4.66424067187354,2.96225683753281,3.86950663367419,1.10723423221505,1.32054390314121
"(Intercept)11",30,5.88341066974749,2.14386614511598,2.28846487766369,1.44415906369215,1.46180278215327
"(Intercept)12",30,4.7124233084856,2.96514454134093,3.09058597058787,1.65633349137386,1.26797298125043
"(Intercept)13",30,5.24941238647948,2.98982327957892,2.86690991127418,1.46227127409133,0.999124940842621
"(Intercept)14",30,5.51697517159383,3.22698684470153,2.51263377294934,1.26823112060196,1.26059295396364
"(Intercept)15",30,4.98456146159892,2.93135902616743,3.2066475873829,1.86402353260662,1.185170259432
"(Intercept)16",30,4.44807054481855,3.8419099443961,3.00238195275063,0.955382130254707,1.3255785586845
"(Intercept)17",30,5.15793012597153,3.12231544032787,3.36441017274274,1.71017400981483,1.21319084164785
"(Intercept)18",30,5.53256501781736,3.06021382424628,2.30459226523307,1.10916529398793,1.31624502678769
"(Intercept)19",30,4.9261472127527,2.71412070786355,3.25400101090129,1.10562470551782,1.44990793468031
"(Intercept)20",50,5.12830732426012,2.20773939318891,2.55247298334321,2.21593839254869,1.0945797377148
"(Intercept)21",50,4.61849110912711,3.71186330703894,3.46744176255151,0.593510200256164,1.26039676440584
"(Intercept)22",50,4.78930600708144,2.82470588017826,3.12848271917962,2.05103547828666,1.22734763320329
"(Intercept)23",50,4.78144394141807,3.35858053624146,3.58278917016491,0.781173679694329,1.00656774499048
"(Intercept)24",50,4.83533608282178,2.69234311845529,3.15390785177201,1.73596040175861,1.17329649225208
"(Intercept)25",50,4.75741196805309,3.3186742122997,3.20721959593736,1.06477289026085,1.34121405338228
"(Intercept)26",50,4.56981253707167,3.08026064282217,3.06062014234604,2.16564301501567,1.14834117212369
"(Intercept)27",50,5.09144811500623,3.16991163491916,2.92804413626062,1.25876912882138,1.16139681733784
"(Intercept)28",50,4.80628588728235,3.10502879611454,3.28394880401258,1.28973874050005,1.11990304999164
"(Intercept)29",50,5.38872789961163,2.17866953728162,2.69200302540674,2.32716201610316,1.52554109417809
"(Intercept)30",70,4.74275579371495,3.60184123855473,3.4478424792514,0.43160084805003,1.17249965268227
"(Intercept)31",70,4.83187108466215,3.43195619958905,3.14343033813531,1.26993907378768,1.22042449197419
"(Intercept)32",70,4.99900707413325,2.61711358760569,3.38865595043624,1.28227655867167,1.10396986412057
"(Intercept)33",70,4.6094554260756,3.67432639988163,3.40052974726382,0.515345002285205,1.07738160592253
"(Intercept)34",70,4.57966568984334,2.97692443318872,3.56531493637438,1.8013278429508,1.27291396132637
"(Intercept)35",70,5.1004420672927,3.01292721008713,2.76132235184922,1.74354885049531,1.26284354936908
"(Intercept)36",70,4.67776854992221,3.84121975948373,3.65048154086274,0.34859162693774,1.39435131565201
"(Intercept)37",70,4.92694213642226,2.76789807020826,2.92011299443106,1.82423947397993,1.26352199764104
"(Intercept)38",70,4.9869319539019,3.19027159414061,2.77903012850441,2.1594047012761,1.18332031881155
"(Intercept)39",70,4.75283861503378,3.72068211216729,2.68473489488916,1.4719730991757,1.25685747807425
"(Intercept)40",90,5.38291733391756,2.45383862746863,2.39306609309171,2.24610206978731,1.26358952117034
"(Intercept)41",90,5.18427143917214,3.24106676919961,2.45931480799908,1.64042642299686,1.24539931273155
"(Intercept)42",90,4.71062513577451,3.34112171276507,3.00079192026468,1.55822996705458,1.25121711348726
"(Intercept)43",90,4.96196244307175,3.51174234137345,2.67109573366568,2.00420757986459,1.4088015478778
"(Intercept)44",90,4.48477971800302,3.63112580652818,3.29667014597485,1.37296668207711,1.03933893584971
"(Intercept)45",90,5.43150016541931,2.62231883618951,2.75074752783824,1.50156922316833,1.10786718884195
"(Intercept)46",90,4.91934108629848,3.40058498390322,2.93674191867561,1.32183258967949,1.12750533521578
"(Intercept)47",90,4.72874312518685,3.28308479412788,2.98858081336975,1.47629204845013,1.191741809197
"(Intercept)48",90,5.06289538396467,2.94091803689383,2.77716637801538,1.88515084775215,1.23904350156506
"(Intercept)49",90,4.92677226846623,3.42985089726688,2.66232168898045,1.39028331417117,1.07291290282356
