"","n","alphaintercept","beta1","beta2","betaintxn","sigma"
"(Intercept)",10,13.4610598925829,1.12113026993719,-9.26803706814792,1.16041762359279,4.70298591492571
"(Intercept)1",10,11.4042170221373,1.14992925315358,-19.4674440252673,1.98653935682318,4.69812401126752
"(Intercept)2",10,1.74539471181135,1.73187412242673,3.34446590054166,0.542764335283453,3.32153861827823
"(Intercept)3",10,4.63674959463288,1.64051645679187,4.30343590182254,0.337337796518179,4.06030951708227
"(Intercept)4",10,9.83625507555357,1.05857028073544,9.84546450787612,0.0914395067656516,2.114338992453
"(Intercept)5",10,6.62376181889963,1.40091181659358,-5.60912341665414,0.978925497314892,3.60327923725638
"(Intercept)6",10,7.80699511088153,1.35420682594666,5.89305618995275,0.502226751305235,4.48490521202718
"(Intercept)7",10,-2.27370398846655,1.9672415206995,11.1242001459381,0.0382506817781092,5.70827318373076
"(Intercept)8",10,2.63516305726198,1.79683333167033,-8.49282094434601,1.3867114245444,5.85267282366335
"(Intercept)9",10,-2.57860735280262,2.13138611739563,8.72335389664236,0.347578059857791,3.88769832758185
"(Intercept)10",30,2.75962377538162,1.58571624747271,2.27500307794273,0.64860483554013,3.40491323322533
"(Intercept)11",30,8.37746982258881,1.23388526830619,-1.85934659575059,1.0180224592863,4.64405086200304
"(Intercept)12",30,2.75280405493614,1.63711945569959,5.77219856823657,0.433126586715841,4.1189337684553
"(Intercept)13",30,8.72077370034294,1.30052939562037,-7.31335989363402,1.26611510022126,3.74367419042773
"(Intercept)14",30,5.65312219161464,1.28674314904466,3.48553821746239,0.6119201772695,3.97993384190129
"(Intercept)15",30,0.404835860592442,1.8105117987812,6.56046800819255,0.23648433929773,3.76020309142324
"(Intercept)16",30,8.01169626295906,1.29457678857968,-0.25512051284764,0.87798349523031,4.05276241570227
"(Intercept)17",30,5.08552520862211,1.51604873631597,0.348985276050876,0.757028654274779,4.05998948710863
"(Intercept)18",30,6.74896227610084,1.38847744514677,-0.996595520367749,0.947361718966524,3.79561225982086
"(Intercept)19",30,4.88409571662415,1.47498206875593,-1.36555481664111,0.922137786581419,4.11117198440056
"(Intercept)20",50,8.0175544743927,1.36271244661866,-3.93420158777184,1.16439367071116,3.2682989536862
"(Intercept)21",50,7.41331531059573,1.31019231067268,-1.73078345256418,0.908887384943639,4.79522683981774
"(Intercept)22",50,4.5814410792141,1.4493927558799,-3.49409585852716,1.18292935384201,3.94718305989637
"(Intercept)23",50,3.73163369086813,1.50911894742688,2.4097237409019,0.861471889918136,4.44964340486159
"(Intercept)24",50,3.09653054326618,1.70723211711155,3.67255483908289,0.533279377061475,3.78583063787684
"(Intercept)25",50,5.63229023934125,1.45391411317912,2.52686274686943,0.594136151241923,4.30321994117979
"(Intercept)26",50,5.67197509831094,1.35838558460799,2.54813484637019,0.72897008894631,4.17427346695104
"(Intercept)27",50,10.1973642775319,1.17281897387962,-2.1395623419787,0.958163002684056,4.23335092391632
"(Intercept)28",50,4.5848623988028,1.5207029351856,6.73946754565996,0.287140897718428,3.93800799444615
"(Intercept)29",50,7.05234639711331,1.41666610270651,-0.0841393427299878,0.780504690997451,3.68598762706854
"(Intercept)30",70,4.18129241247792,1.5172736788739,4.34848460319544,0.586756451936542,3.88079057276308
"(Intercept)31",70,5.71354836553583,1.51304881354621,3.86496145560667,0.514006617281717,3.90114692408213
"(Intercept)32",70,4.67306982847459,1.52955452585745,3.21385655646037,0.620905780802217,4.05987266241497
"(Intercept)33",70,4.12371069439166,1.51037560378271,4.74734968717765,0.5924933471828,3.44363628608141
"(Intercept)34",70,4.01224626484765,1.62331843729693,2.52806696412674,0.508404529087545,3.93451330908333
"(Intercept)35",70,7.10169039554439,1.37451583595875,2.83441631860916,0.646284182428886,4.00115219812898
"(Intercept)36",70,6.00181783257022,1.45065169445816,2.59784625303777,0.637171883871501,4.11677819208928
"(Intercept)37",70,5.42154407597789,1.53495802798352,0.48402677798324,0.828957942968988,3.9527488741539
"(Intercept)38",70,4.00117476669764,1.51342632476244,1.20291044163798,0.785100993467546,3.75219328073744
"(Intercept)39",70,5.41846347171843,1.46199653805362,3.30918046976093,0.52964813456674,4.05632593793338
"(Intercept)40",90,6.30103261858252,1.4169071892096,-0.723891069240793,0.787213602405367,3.6057080443071
"(Intercept)41",90,6.39079199218169,1.42266184499571,-0.277419970514512,0.796375564931224,3.46385876943484
"(Intercept)42",90,5.18445406183218,1.50717193165672,1.14435975952315,0.725618884050363,3.60780536157023
"(Intercept)43",90,3.7294199274484,1.61661888540927,2.28451003192305,0.640798337964793,3.92862386828138
"(Intercept)44",90,4.87625364190684,1.55867599029933,1.20203051330534,0.681551574753851,3.41292149599733
"(Intercept)45",90,4.63174514981261,1.50268544338687,0.7513261172701,0.75793819536332,4.30074715876502
"(Intercept)46",90,3.91217821704058,1.5708645749575,1.80929677645152,0.610753584668862,4.14993505092783
"(Intercept)47",90,5.06915263746209,1.47125114508968,1.05321438885421,0.827908078004229,3.54647090496023
"(Intercept)48",90,3.05523178801349,1.62275612044094,3.92430210783837,0.531584539018765,3.82311243649656
"(Intercept)49",90,5.11473140581289,1.47440451209181,3.05948406058246,0.616059631443308,3.68530779854547
